rank,stadium,capacity,region,country,city,images,home_team,location
90.0,Raymond James Stadium,65847.0,North America,United States,"Tampa, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Tampa Bay Buccaneers, South Florida Bulls football, Tampa Bay Vipers","[27.97597925, -82.5042179967]"
91.0,Hard Rock Stadium,65326.0,North America,United States,"Miami Gardens, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Miami Dolphins, Miami Hurricanes football","[25.95790315, -80.2400191953]"
92.0,Olympic Stadium,65255.0,North America,Canada,"Montreal, Quebec",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,CF Montréal,"[45.55779835, -73.5516458052]"
93.0,Basra International Stadium,65227.0,West Asia,Iraq,Basra,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Iraq national football team,"[30.4399273, 47.7798634136]"
94.0,Camping World Stadium,65000.0,North America,United States,"Orlando, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[28.5390623, -81.4027485784]"
95.0,Alamodome,65000.0,North America,United States,San Antonio,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,UTSA Roadrunners football,"[29.4168923, -98.4788948757]"
96.0,Ford Field,65000.0,North America,United States,Detroit,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Detroit Lions,"[42.33995675, -83.045616574]"
97.0,Stade Ibn Battuta,65000.0,Africa,Morocco,Tangier,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,IR Tanger,"[35.74124485, -5.8580756424]"
98.0,Estádio do Sport Lisboa e Benfica,64642.0,Europe,Portugal,Lisbon,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Benfica,"[38.7526893, -9.1846898818]"
99.0,Stade du 5-juillet-1962,64000.0,Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Algeria national football team,"[36.75951425, 2.9952724128]"
100.0,Castelão,63903.0,South America,Brazil,"Fortaleza, Ceará",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Ceará SC, Fortaleza EC","[-3.80674195, -38.5216794073]"
101.0,Saitama Stadium 2002,63700.0,East Asia,Japan,Saitama,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Urawa Red Diamonds, Saitama Wild Knights","[35.90308, 139.7168256211]"
102.0,Ellis Park Stadium,62567.0,Africa,South Africa,"Johannesburg, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Orlando Pirates FC, Emirates Johannesburg Lions","[-26.19747885, 28.0607682379]"
103.0,Tottenham Hotspur Stadium,62303.0,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Tottenham Hotspur,"[51.604157, -0.06626041]"
104.0,VELTINS-Arena,62271.0,Europe,Germany,Gelsenkirchen,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,FC Schalke 04,"[51.55459375, 7.067600069]"
105.0,Yizhong Sports Centre Stadium,62000.0,East Asia,China,"Qingdao, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Qingdao Jonoon FC,"[36.0637967, 120.3192081]"
106.0,Estádio Governador Magalhães Pinto,61846.0,South America,Brazil,"Belo Horizonte, Minas Gerais",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Atlético Mineiro, Cruzeiro EC","[-19.8659115, -43.9710434043]"
107.0,King Fahd International Stadium,61781.0,West Asia,Saudi Arabia,Riyadh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Saudi Arabia national football team, Al-Hilal, Al-Nassr, Al-Shabab","[24.7885806, 46.8391448601]"
108.0,Soldier Field,61500.0,North America,United States,Chicago,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Chicago Bears,"[41.86245145, -87.616715147]"
