rank,stadium,capacity,region,country,city,images,home_team
153,Stadion Śląski,"55,211",Europe,Poland,Chorzów,,"Poland national football team, Ruch Chorzów"
154,Etihad Stadium,"55,097",Europe,England,"Manchester, North West England",,Manchester City
155,Mestalla,"55,000",Europe,Spain,Valencia,,Valencia CF
156,National Stadium,"55,000",Southeast Asia,Singapore,Singapore,,Singapore national football team
157,National Stadium,"55,000",East Asia,Taiwan,Kaohsiung,,Chinese Taipei national football team
158,He Long Stadium,"55,000",East Asia,China,"Changsha, Hunan",,
159,Cape Town Stadium,"55,000",Africa,South Africa,"Cape Town, Western Cape",,"Cape Town City FC, DHL Western Cape Stormers"
160,Plovdiv Stadium,"55,000",Europe,Bulgaria,Plovdiv,,
161,Bobby Dodd Stadium,"55,000",North America,United States,Atlanta,,Georgia Tech Yellow Jackets football
162,Johan Cruijff Arena,"54,990",Europe,Netherlands,Amsterdam,,AFC Ajax
163,Tianhe Stadium,"54,856",East Asia,China,"Guangzhou, Guangdong",,
164,Stadio Diego Armando Maradona,"54,726",Europe,Italy,Naples,,SSC Napoli
165,Tianjin Olympic Sports Centre Stadium,"54,696",East Asia,China,Tianjin,,Tianjin Teda
166,MERKUR SPIEL-ARENA,"54,600",Europe,Germany,Düsseldorf,,Fortuna Düsseldorf
167,Boris Paitchadze Dinamo Arena,"54,549",West Asia,Georgia,Tbilisi,,"Georgia national football team, FC Dinamo Tbilisi"
168,Wuhan Sports Centre Stadium,"54,357",East Asia,China,"Wuhan, Hubei",,
169,BC Place Stadium,"54,320",North America,Canada,"Vancouver, British Columbia",,"Vancouver Whitecaps FC, BC Lions"
170,Yankee Stadium,"54,251",North America,United States,New York City,,"New York Yankees, New York City FC"
171,Hrazdan Stadium,"54,208",West Asia,Armenia,Yerevan,,"FC Ararat Yerevan, Ulisses FC"
172,BORUSSIA-PARK,"54,057",Europe,Germany,Mönchengladbach,,Borussia Mönchengladbach
173,Moses Mabhida Stadium,"54,000",Africa,South Africa,"Durban, KwaZulu-Natal",,"AmaZulu FC, Cell C Durban Sharks"
174,Busan Asiad Main Stadium,"53,864",East Asia,South Korea,Busan,,Busan IPark
175,Estádio Estadual Jornalista Edgar Augusto Proença,"53,645",South America,Brazil,"Belém, Pará",,"Paysandu SC, Clube do Remo, Tuna Luso Brasileira, SC Belem"
176,Estadio Único Diego Armando Maradona,"53,600",South America,Argentina,La Plata,,
177,Adelaide Oval,"53,500",Oceania,Australia,"Adelaide, South Australia",,"Adelaide Crows, Port Adelaide Powers"
178,Docklands Stadium,"53,359",Oceania,Australia,"Melbourne, Victoria",,"Western Bulldogs, Essendon, St. Kilda, Carlton, North Melbourne"
179,Estádio Municipal João Havelange,"53,350",South America,Brazil,"Uberlândia, Minas Gerais",,Uberlânia EC
180,San Mamés,"53,332",Europe,Spain,Bilbao,,Athletic Bilbao
181,Aleppo International Stadium,"53,200",West Asia,Syria,Aleppo,,Al-Ittihad
182,Estadio Nacional,"53,086",South America,Peru,Lima,,Peru national football team
183,Huanglong Stadium,"52,672",East Asia,China,"Hangzhou, Zhejiang",,Hangzhou FC
184,RAMS Park,"52,652",Europe,Turkey,Istanbul,,Galatasaray
185,Suncorp Stadium,"52,500",Oceania,Australia,"Brisbane, Queensland",,"Brisbane Broncos, Queensland Maroons, Brisbane Roar FC, Queensland Reds"
186,St. James' Park,"52,405",Europe,England,"Newcastle upon Tyne, North East",,Newcastle United
187,Kings Park Stadium,"52,000",Africa,South Africa,"Durban, KwaZulu-Natal",,"Lamontville Golden Arrows, Cell C Durban Sharks"
188,Newlands Stadium,"51,900",Africa,South Africa,"Cape Town, Western Cape",,
189,Hampden Park,"51,866",Europe,Scotland,Glasgow,,"Scotland national football team, Queen's Park"
190,Estadio Monumental de Maturín,"51,796",South America,Venezuela,Maturín,,Monagas Sport Club
