rank,stadium,capacity,region,country,city,images,home_team
352,Estadio Campeón del Siglo,"40,005",South America,Uruguay,Montevideo,,Club Atlético Peñarol
353,Metalist Stadium,"40,003",Europe,Ukraine,Kharkiv,,"FC Metalist Kharkiv, FC Shakhtar Donetsk"
354,Al-Janoub Stadium,"40,000",West Asia,Qatar,Al-Wakrah,,
355,Al-Thumama Stadium,"40,000",West Asia,Qatar,Al-Thumama,,
356,Stade Ahmed-Zabana,"40,000",Africa,Algeria,Oran,,MC Oran
357,Stadion Batakan,"40,000",Southeast Asia,Indonesia,"Balikpapan, East Kalimantan",,Persiba Balikpapan
358,Stadion Gelora Joko Samudro,"40,000",Southeast Asia,Indonesia,"Gresik, East Java",,Gresik United
359,Fisht Olympic Stadium,"40,000",Europe,Russia,Sochi,,
360,Rentschler Field,"40,000",North America,United States,"East Hartford, Connecticut",,
361,Jawaharlal Nehru Stadium,"40,000",South Asia,India,Kochi,,"Kerala Blasters, India national football team"
362,Hang Jebat Stadium,"40,000",Southeast Asia,Malaysia,Malacca,,Melaka United
363,Hong Kong Stadium,"40,000",East Asia,Hong Kong,So Kon Po,,South China AA
364,Stadium Negeri Pulau Pinang,"40,000",Southeast Asia,Malaysia,Batu Kawan,,Penang FA
365,Accra Sports Stadium,"40,000",Africa,Ghana,Accra,no image,"Accra Hearts of Oak SC, Great Olympics"
366,Sarawak Stadium,"40,000",Southeast Asia,Malaysia,Kuching,,Sarawak FA
367,Bogyoke Aung San Stadium,"40,000",Southeast Asia,Myanmar,Yangon,,Yangon United FC
368,Resonac Dome Ōita,"40,000",East Asia,Japan,Ōita,,Ōita Trinita
369,Stadium Darul Makmur,"40,000",Southeast Asia,Malaysia,Kuantan,,Pahang FA
370,Khalifa International Stadium,"40,000",West Asia,Qatar,Doha,,Qatar national football team
371,Stade de l’Amitié sino-gabonaise,"40,000",Africa,Gabon,Libreville,no image,Gabon national football team
372,Peoples Football Stadium,"40,000",South Asia,Pakistan,Karachi,no image,Pakistan national football team
373,JRD Tata Sports Complex Stadium,"40,000",South Asia,India,Jamshedpur,,"Jamshedpur FC, Tata Football Academy"
374,Bao'an Stadium,"40,000",East Asia,China,"Shenzhen, Guangdong",,
375,Kunming Tuodong Sports Centre Stadium,"40,000",East Asia,China,"Kunming, Yunnan",,China national football team
376,Taizhou Sports Centre Stadium,"40,000",East Asia,China,"Taizhou, Zhejiang",no image,
377,Wuhu Olympic Stadium,"40,000",East Asia,China,"Wuhu, Anhui",no image,
378,Huizhou Olympic Stadium,"40,000",East Asia,China,"Huizhou, Guangdong",no image,
